run_id,minute_ts,bar_time_utc,p_close_mid,x_close_mid,ratio_close_mid,mean,std,z_mid,cross_up,cross_down,pos,ratio_exec_L,ratio_exec_S,z_exec_L,z_exec_S,p_last,p_bid,p_ask,x_last,x_bid,x_ask,signal,note,t,trades_count,trades_events,trades_actions,trades_reason_sample
20260228_065903_b8b90d7d,1772266560,2026-02-28 08:16:00,5396.0,5352.25,0.81,0.37,0.14,3.19,0,0,LONG_SPREAD,0.82,0.81,3.21,3.19,5396.01,5395.94,5395.96,5352.2,5352.1,5352.2,,,2026-02-28 08:16:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266620,2026-02-28 08:17:00,5392.48,5345.85,0.87,0.37,0.14,3.53,0,0,LONG_SPREAD,0.87,0.86,3.56,3.5,5392.28,5392.48,5392.49,5345.9,5345.6,5346.1,,,2026-02-28 08:17:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266680,2026-02-28 08:18:00,5393.58,5344.95,0.91,0.37,0.14,3.73,0,0,LONG_SPREAD,0.91,0.9,3.74,3.72,5393.64,5393.58,5393.64,5345.0,5344.9,5345.0,,,2026-02-28 08:18:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266740,2026-02-28 08:19:00,5402.08,5349.95,0.97,0.37,0.15,4.1,0,0,LONG_SPREAD,0.98,0.98,4.2,4.18,5396.94,5402.83,5402.84,5350.0,5349.9,5350.0,,,2026-02-28 08:19:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266800,2026-02-28 08:20:00,5400.84,5351.15,0.92,0.37,0.15,3.73,0,0,LONG_SPREAD,0.93,0.92,3.76,3.72,5401.25,5400.84,5400.85,5351.2,5350.9,5351.2,,,2026-02-28 08:20:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266860,2026-02-28 08:21:00,5403.5,5352.65,0.95,0.37,0.15,3.8,0,0,LONG_SPREAD,0.95,0.94,3.81,3.8,5403.51,5403.5,5403.51,5353.9,5352.6,5352.7,,,2026-02-28 08:21:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266920,2026-02-28 08:22:00,5404.7,5354.15,0.94,0.37,0.15,3.71,0,0,LONG_SPREAD,0.94,0.94,3.68,3.7,5404.7,5404.7,5404.71,5354.2,5354.4,5354.2,,,2026-02-28 08:22:00+00:00,0,,,
20260228_065903_b8b90d7d,1772266980,2026-02-28 08:23:00,5408.74,5354.95,1.0,0.38,0.16,4.02,0,0,LONG_SPREAD,1.0,1.0,4.03,4.01,5408.74,5408.73,5408.74,5355.0,5354.9,5355.0,,,2026-02-28 08:23:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267040,2026-02-28 08:24:00,5412.76,5359.15,1.0,0.38,0.16,3.93,0,0,LONG_SPREAD,1.0,0.99,3.93,3.92,5412.77,5412.76,5412.77,5359.1,5359.1,5359.2,,,2026-02-28 08:24:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267100,2026-02-28 08:25:00,5412.48,5358.35,1.01,0.38,0.16,3.92,0,0,LONG_SPREAD,1.01,1.01,3.98,3.95,5412.35,5412.53,5412.56,5358.1,5357.9,5358.1,,,2026-02-28 08:25:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267160,2026-02-28 08:26:00,5411.3,5355.6,1.03,0.38,0.16,4.03,0,0,LONG_SPREAD,1.03,1.03,4.03,4.01,5411.31,5411.3,5411.31,5356.0,5355.6,5355.7,,,2026-02-28 08:26:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267220,2026-02-28 08:27:00,5417.26,5358.95,1.08,0.38,0.17,4.23,0,0,LONG_SPREAD,1.08,1.08,4.24,4.23,5417.27,5417.26,5417.27,5359.0,5358.9,5359.0,,,2026-02-28 08:27:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267280,2026-02-28 08:28:00,5415.54,5358.25,1.06,0.38,0.17,4.04,0,0,LONG_SPREAD,1.06,1.06,4.05,4.04,5415.54,5415.53,5415.54,5359.5,5358.2,5358.3,,,2026-02-28 08:28:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267340,2026-02-28 08:29:00,5417.74,5361.45,1.04,0.38,0.17,3.86,0,0,LONG_SPREAD,1.05,1.04,3.87,3.86,5417.75,5417.74,5417.75,5361.4,5361.4,5361.5,,,2026-02-28 08:29:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267400,2026-02-28 08:30:00,5406.98,5354.85,0.97,0.39,0.17,3.37,0,0,LONG_SPREAD,0.97,0.97,3.4,3.39,5408.14,5406.97,5406.98,5355.6,5354.6,5354.7,,,2026-02-28 08:30:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267460,2026-02-28 08:31:00,5407.1,5355.45,0.96,0.39,0.17,3.28,0,0,LONG_SPREAD,0.96,0.96,3.28,3.27,5407.54,5407.09,5407.1,5355.4,5355.4,5355.5,,,2026-02-28 08:31:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267520,2026-02-28 08:32:00,5406.0,5355.65,0.94,0.39,0.18,3.1,0,0,LONG_SPREAD,0.94,0.93,3.11,3.1,5406.0,5405.99,5406.0,5355.7,5355.6,5355.7,,,2026-02-28 08:32:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267580,2026-02-28 08:33:00,5400.7,5350.95,0.93,0.39,0.18,3.01,0,0,LONG_SPREAD,0.93,0.91,3.03,2.9,5400.69,5400.68,5400.69,5352.1,5350.8,5352.0,,,2026-02-28 08:33:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267640,2026-02-28 08:34:00,5400.22,5351.65,0.9,0.39,0.18,2.86,0,0,LONG_SPREAD,0.92,0.92,2.95,2.94,5400.53,5401.06,5401.07,5351.7,5351.6,5351.7,,,2026-02-28 08:34:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267700,2026-02-28 08:35:00,5398.6,5350.05,0.9,0.39,0.18,2.83,0,0,LONG_SPREAD,0.9,0.9,2.84,2.82,5399.92,5398.6,5398.61,5350.7,5350.0,5350.1,,,2026-02-28 08:35:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267760,2026-02-28 08:36:00,5403.94,5353.95,0.93,0.39,0.18,2.94,0,0,LONG_SPREAD,0.93,0.93,2.95,2.94,5404.08,5403.94,5403.95,5353.9,5353.9,5354.0,,,2026-02-28 08:36:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267820,2026-02-28 08:37:00,5405.02,5355.65,0.92,0.39,0.18,2.85,0,0,LONG_SPREAD,0.92,0.92,2.85,2.84,5405.01,5405.01,5405.02,5355.7,5355.6,5355.7,,,2026-02-28 08:37:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267880,2026-02-28 08:38:00,5407.78,5357.75,0.93,0.4,0.19,2.88,0,0,LONG_SPREAD,0.93,0.93,2.89,2.88,5407.79,5407.78,5407.79,5357.8,5357.7,5357.8,,,2026-02-28 08:38:00+00:00,0,,,
20260228_065903_b8b90d7d,1772267940,2026-02-28 08:39:00,5405.18,5356.7,0.9,0.4,0.19,2.7,0,0,LONG_SPREAD,0.9,0.9,2.71,2.7,5405.18,5405.17,5405.18,5356.3,5356.6,5356.7,,,2026-02-28 08:39:00+00:00,0,,,
